Cluster number,Nodes
41,Mlph
41,Rogdi
41,Bsn
41,Syn3
42,Cops6
42,Wdr6
42,Cops4
42,Polr2h
42,Fbxo44
42,Taf3
42,Ddb1
42,Ssrp1
43,Cryaa
43,Bag3
43,Hspb6
43,Hspb7
43,Cryab
44,Tdrd1
44,Henmt1
44,Tdrd7
44,Tdrd12
44,Piwil4
45,Ndufb2
45,Acad9
45,Ndufa12
45,Yjefn3
45,Ndufa4l2
46,Sephs1
46,Sars
46,Aars2
46,Cdc16
46,Sepsecs
47,Plxnb1
47,Plxnb2
47,Shc3
47,Efna3
47,Met
48,Dlg4
48,Pvalb
48,Pou4f1
48,Srcin1
48,Tubb3
48,Mapre3
49,Tmem107
49,Tmem231
49,Nphp3
49,Cep97
49,Ccp110
49,Cc2d2a
50,Rragd
50,Atp6v1b1
50,Flcn
50,Atp6v0a2
50,Lamtor1
50,Tmem199
51,Lypla1
51,Mboat1
51,Dgkh
51,Agpat2
51,Pld3
51,Pla2g15
51,Dgka
52,Tkt
52,Prps1
52,Nudt5
52,Nudt22
52,Prpsap2
52,Pgls
52,Eno3
52,Pgd
53,Ell2
53,Ccnt2
53,Ccnl1
53,Pot1a
53,Gtf2h1
53,Gtf2f1
53,Cdk19
53,Rtel1
54,Exosc10
54,Kpnb1
54,Utp14a
54,Rfc5
54,Nup54
54,Rfc4
54,Aaas
54,Nup43
55,Dlgap3
55,Cpeb2
55,Rasa2
55,Fmr1
55,Mbnl1
55,Shoc2
55,Syngap1
55,Rras2
55,Arc
55,Baiap2
56,Abcb10
56,Iba57
56,Slc25a37
56,Cpox
56,Abcb7
56,Alas1
56,Abcb8
57,Braf
57,Rasgrp1
57,Skap1
57,Rap1b
57,Ceacam2
57,Prkd3
57,Id1
58,Etv4
58,Tmprss4
58,Furin
58,Atp6ap2
58,Ctsd
58,Tmprss2
58,Ctsb
59,Ets1
59,Icos
59,Tbx21
59,Myb
59,Rc3h1
59,Gata2
59,Klrb1c
60,Mbd2
60,Rbbp7
60,H4c8
60,Mecom
60,Dpf3
60,Pcgf2
60,Lin37
61,Prdx4
61,Prdx6
61,Chac2
61,Cdo1
61,Ggct
61,Srxn1
62,Hsd11b2
62,Smarca4
62,Nr3c1
62,Tert
62,Trim63
62,Smarcd3
63,Dusp9
63,Dusp1
63,Ralb
63,Daxx
63,Fosl1
63,Mapk10
64,Hdac9
64,Hdac7
64,H4c9
64,H1f2
64,H2bc4
64,Cdc73
65,Ackr3
65,Il1rl1
65,Cxcr3
65,Myd88
65,Ccl28
65,Ccr6
66,Ache
66,Chka
66,Etnppl
66,Etnk2
66,Hykk
67,Lats2
67,Wwc1
67,Ptpn14
67,Mob1b
67,Wtip
68,Bdkrb2
68,Gna12
68,Ptgfr
68,Agtr1a
68,Aplnr
69,Phlda2
69,Osbpl5
69,Fbxo2
69,Cdkn1c
69,Skp2
70,Chac1
70,Txndc12
70,Rps6ka3
70,Atf4
70,Rps6ka6
71,Xrn1
71,Rack1
71,Hmgn2
71,Ythdc2
71,Dcp2
72,Pcca
72,Aox3
72,Mmaa
72,Mmut
72,Dhrs4
73,Grik5
73,Gart
73,Kars
73,Tarsl2
73,Mthfd1l
74,Edn3
74,Esr1
74,Ncoa2
74,Oxtr
74,Cacna2d1
75,Rab27b
75,Vamp8
75,Chm
75,Vps18
75,Vps8
76,Me1
76,Glyctk
76,Afmid
76,Pdhb
76,Qprt
77,Muc1
77,Angpt1
77,Pdgfd
77,Csf1
77,Erbb3
78,Rara
78,Clock
78,Fbxl3
78,Bhlhe40
78,Tgif1
79,Ahsa1
79,Bag2
79,Dnaja4
79,Ppid
79,Hsph1
