Cluster number,Nodes
43,Ddx49
44,Gria4
44,Dlg4
44,Sipa1l1
44,Cnih1
44,Trpm4
44,Tinagl1
44,Nos1
45,Dlg2
45,Syngap1
45,Grin2c
45,Olfm1
45,Rras
45,P2rx7
45,P2rx5
45,P2ry14
46,Kcnj3
46,Rgs4
46,Gnai2
46,Rgs1
46,Mmp25
46,Rgs6
46,Rgs7
46,Adrb1
46,S1pr3
46,Casr
46,S1pr5
47,Fbxl17
47,Elob
47,Dcun1d2
47,Cbfb
47,Fbxo44
47,Fbxo4
47,Lrp5
47,Axin1
47,Fbxo5
47,Cul1
48,Cenpp
48,Kif22
48,Taok2
48,Plk1
48,Pafah1b1
48,Cpeb2
48,Optn
48,Nek9
48,Ninl
48,Taok1
49,Cbx6
49,Gpam
49,Lpl
49,Ppara
49,Thrb
49,Hnf4a
49,Sirt1
49,Cebpg
49,Ep300
50,Gipc2
50,Pak3
50,Ppfia3
50,Myo6
50,Calm2
50,Pdlim4
50,Gipc1
50,Git1
50,Grk6
51,Fcer1g
51,Cd300ld
51,Rap1a
51,Mdk
51,C3ar1
51,Pik3cb
51,Wdr41
51,Irs2
51,Pip4k2a
52,Acvr1b
52,Scn4a
52,Gdf11
52,Gpd1l
52,Tgfb2
52,Smad7
52,Scn3b
52,Bmpr2
53,Sp1
53,Crebbp
53,Tead4
53,Tcf7
53,Ets2
53,Nfe2l2
53,Park7
53,Ncor2
54,Lamp2
54,Anxa2
54,Rilp
54,Tuba1c
54,Cd63
54,Rab7
54,Map1lc3b
55,Lpin3
55,Mgll
55,Slc27a1
55,Plin3
55,Ndufa8
55,Pnpla2
56,Hmgb1
56,Myd88
56,Isg15
56,Hmgb2
56,Flii
56,Ifitm3
57,Arl2
57,Arl3
57,Pde6d
57,Gcsh
57,Gmpr
57,Atic
58,Gnao1
58,Ric8b
58,Mapk10
58,Rgs16
58,Itch
58,Adcy4
59,Mmp14
59,Inppl1
59,Bcar1
59,Hcls1
59,Cldn12
59,Tjp2
60,Mef2d
60,Hspa8
60,Wbp11
60,Dnajc18
60,Hspd1
61,Smarcc1
61,Lmna
61,Chd4
61,Banf1
61,Vrk1
62,Enpep
62,Ctsl
62,Lgmn
62,Ace2
62,Prcp
63,Clec4n
63,Clec4d
63,Syk
63,Zap70
63,Vwf
64,Cyp46a1
64,Por
64,Soat2
64,Cyb5b
64,Lipa
65,Cbx5
65,Pogz
65,H1f0
65,Zmynd11
65,H3c4
66,Sec22c
66,Uso1
66,Copb2
66,Nbas
