Cluster number,Nodes
45,Sirt4
45,Phospho1
46,Klf4
46,Gdnf
46,Msi1
46,Sox2
46,Lefty1
46,Zfp750
46,Klf2
46,Mycl
47,Nfasc
47,Ptprz1
47,Cspg5
47,Bcan
47,Agrn
47,Ptprs
47,Hmgb1
47,Nrxn1
47,Nrxn2
47,Cbln1
48,Igf1r
48,Efna3
48,Itch
48,Nedd4l
48,Igf2
48,Shc3
48,Ntf3
48,Pappa2
48,Fgf20
48,Igfbp5
49,Fbf1
49,Tbc1d24
49,Ap2b1
49,Tgoln1
49,Sclt1
49,Gga3
49,Ldlrap1
49,Ldlr
49,Arf6
50,Snrpd2
50,Cdk8
50,Gcfc2
50,Trip4
50,Syf2
50,Rbm25
50,Med25
50,Polr2f
50,BC024978
51,Mmp15
51,Mmp25
51,Hbegf
51,Sdc1
51,S1pr3
51,Gpc1
51,Mmp17
51,Mmp24
52,Gucy2g
52,Gipr
52,Vipr2
52,Vipr1
52,Nppa
52,Nptxr
52,Drd5
53,Lamb2
53,Nid2
53,Col16a1
53,Col11a2
53,Col5a1
53,Col4a2
54,Tra2a
54,Srek1
54,Ccar1
54,Son
54,Srsf11
54,Rbm5
55,Sp7
55,Col2a1
55,Col11a1
55,Mef2d
55,Dlx2
55,Nfatc1
56,Pou4f1
56,Tubb3
56,Dpf3
56,Smarce1
56,Bcl11b
56,Krt222
57,Nmnat1
57,Nt5e
57,Nmrk1
57,Impdh1
57,Uckl1
57,Upp1
58,Prkg1
58,Ppp1r12a
58,Ppp1r17
58,Nf2
58,Plcb4
59,Zic2
59,Zic5
59,Ngef
59,Ephb1
59,Six3
60,Wdr90
60,Tuba1c
60,Tagln3
60,Col22a1
60,Spag8
61,Eif4a3
61,Qk
61,Chtop
61,Fyttd1
61,Eif4e3
62,Cd74
62,Vezt
62,Gfm2
62,Tsfm
62,H2-Eb1
63,Panx1
63,P2rx6
63,Gjb1
63,P2rx4
63,Gjc2
64,Apol10b
64,Apoa1
64,P4hb
64,Lrp2
64,Mttp
65,Cfdp1
65,Msl3
65,Actl6b
65,Msl1
65,Srcap
66,Ak5
66,Nt5m
66,Naprt
66,Pde1a
66,Gucy2f
67,Bhlhe40
67,Per2
67,Spcs1
67,Grp
67,Dad1
